,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Spending_Score_encoded
82,459236,female,Yes,78,Yes,Lawyer,0.0,High,2.0,2.0
83,459237,male,No,33,Yes,Artist,1.0,Low,6.0,0.0
84,459244,male,Yes,48,Yes,Artist,1.0,Low,1.0,0.0
85,459247,male,Yes,58,Yes,Executive,1.0,Average,5.0,1.0
86,459258,female,Yes,83,Yes,Lawyer,1.0,High,4.0,2.0
87,459263,female,No,30,No,Healthcare,9.0,Low,4.0,0.0
88,459264,female,No,35,Yes,Artist,0.0,Low,2.0,0.0
89,459266,male,No,32,Yes,Healthcare,6.0,Low,5.0,0.0
90,459270,male,Yes,69,Yes,Homemaker,1.0,High,2.0,2.0
91,459284,female,Yes,71,Yes,Lawyer,1.0,High,2.0,2.0
92,459287,male,No,43,Yes,Lawyer,0.0,Low,1.0,0.0
93,459288,male,Yes,37,Yes,Artist,0.0,Low,2.0,0.0
94,459289,male,No,42,Yes,Doctor,0.0,Low,1.0,0.0
95,459290,female,Yes,70,Yes,Doctor,1.0,Average,2.0,1.0
96,459292,male,No,46,Yes,Artist,0.0,Low,2.0,0.0
97,459293,male,No,21,No,Healthcare,8.0,Low,3.0,0.0
98,459296,male,Yes,70,Yes,Artist,0.0,Average,2.0,1.0
99,459300,female,Yes,61,Yes,Artist,1.0,Low,4.0,0.0
100,459307,male,Yes,60,Yes,Entertainment,1.0,Low,1.0,0.0
101,459310,male,No,37,Yes,Entertainment,0.0,Low,2.0,0.0
102,459316,male,Yes,30,Yes,Healthcare,1.0,Low,2.0,0.0
103,459318,female,No,32,Yes,Engineer,1.0,Low,3.0,0.0
104,459320,male,Yes,26,Yes,Executive,0.0,Low,3.0,0.0
105,459322,male,No,42,Yes,Marketing,0.0,Low,1.0,0.0
106,459323,female,No,18,Yes,Doctor,1.0,Low,1.0,0.0
107,459338,male,Yes,80,No,Executive,2.0,Low,2.0,0.0
108,459339,male,Yes,29,Yes,Healthcare,8.0,High,2.0,2.0
109,459344,female,Yes,88,Yes,Artist,1.0,High,2.0,2.0
110,459347,male,Yes,70,Yes,Lawyer,1.0,Low,1.0,0.0
111,459349,female,Yes,50,Yes,Artist,1.0,High,4.0,2.0
112,459352,male,Yes,43,Yes,Doctor,4.0,Average,4.0,1.0
113,459353,male,Yes,51,Yes,Artist,6.0,Average,2.0,1.0
114,459354,female,Yes,50,Yes,Artist,5.0,High,3.0,2.0
115,459355,female,Yes,74,No,Homemaker,3.0,Low,1.0,0.0
116,459360,female,No,29,Yes,Healthcare,1.0,Low,3.0,0.0
117,459361,female,No,32,Yes,Engineer,3.0,Low,2.0,0.0
118,459362,male,Yes,60,No,Executive,0.0,Low,2.0,0.0
119,459363,male,No,46,Yes,Artist,2.0,Low,1.0,0.0
120,459364,female,Yes,81,Yes,Marketing,0.0,Low,2.0,0.0
121,459369,male,Yes,41,No,Engineer,4.0,Average,7.0,1.0
122,459375,male,Yes,22,No,Executive,0.0,High,4.0,2.0
123,459377,male,Yes,37,Yes,Artist,0.0,Average,3.0,1.0
124,459383,male,Yes,43,No,Engineer,0.0,Low,1.0,0.0
125,459384,male,Yes,50,Yes,Artist,1.0,Average,3.0,1.0
126,459385,female,Yes,35,Yes,Artist,1.0,Average,2.0,1.0
127,459386,male,Yes,65,Yes,Lawyer,1.0,High,2.0,2.0
128,459391,female,No,41,Yes,Engineer,0.0,Low,4.0,0.0
129,459394,male,No,28,No,Entertainment,8.0,Low,2.0,0.0
130,459397,male,Yes,55,Yes,Artist,4.0,Average,2.0,1.0
131,459398,female,Yes,58,Yes,Lawyer,6.0,High,2.0,2.0
132,459401,male,No,28,No,Healthcare,1.0,Low,3.0,0.0
133,459403,male,Yes,48,Yes,Artist,3.0,Average,4.0,1.0
134,459405,female,Yes,78,Yes,Doctor,1.0,High,2.0,2.0
135,459407,female,No,35,Yes,Doctor,1.0,Low,3.0,0.0
136,459409,female,Yes,76,Yes,Lawyer,0.0,High,2.0,2.0
137,459410,female,Yes,88,Yes,Lawyer,1.0,High,2.0,2.0
138,459412,male,Yes,61,Yes,Artist,1.0,Average,3.0,1.0
139,459413,female,Yes,79,Yes,Artist,2.0,High,2.0,2.0
140,459415,male,No,30,Yes,Doctor,0.0,Low,4.0,0.0
141,459418,male,Yes,69,No,Executive,0.0,High,2.0,2.0
142,459419,male,Yes,65,Yes,Doctor,1.0,Average,2.0,1.0
143,459420,female,Yes,70,Yes,Lawyer,1.0,Low,2.0,0.0
144,459421,male,Yes,32,No,Healthcare,0.0,Average,4.0,1.0
145,459422,male,Yes,46,Yes,Entertainment,7.0,Low,4.0,0.0
146,459423,male,No,21,No,Healthcare,8.0,Low,5.0,0.0
147,459424,male,Yes,47,Yes,Doctor,2.0,Low,3.0,0.0
148,459428,female,No,39,No,Marketing,0.0,Low,2.0,0.0
149,459432,male,Yes,85,Yes,Lawyer,0.0,Low,3.0,0.0
150,459436,female,No,66,Yes,Artist,0.0,Low,2.0,0.0
151,459439,female,Yes,50,Yes,Artist,1.0,Average,2.0,1.0
152,459445,female,Yes,42,Yes,Artist,0.0,Average,3.0,1.0
153,459447,male,Yes,53,Yes,Artist,9.0,Low,1.0,0.0
154,459449,male,Yes,37,Yes,Artist,4.0,Low,2.0,0.0
155,459451,female,Yes,45,Yes,Artist,1.0,Low,2.0,0.0
156,459456,female,No,66,Yes,Lawyer,1.0,Low,1.0,0.0
157,459458,male,No,33,No,Marketing,2.0,Low,4.0,0.0
158,459459,male,Yes,40,Yes,Artist,4.0,Low,1.0,0.0
159,459461,female,Yes,35,Yes,Artist,1.0,Low,1.0,0.0
160,459464,male,No,27,Yes,Artist,2.0,Low,2.0,0.0
161,459466,female,Yes,48,Yes,Artist,0.0,Average,3.0,1.0
162,459467,female,Yes,56,Yes,Artist,0.0,Average,2.0,1.0
163,459469,male,Yes,25,Yes,Healthcare,3.0,Low,6.0,0.0
164,459471,female,No,30,No,Artist,2.0,Low,8.0,0.0
165,459480,female,Yes,46,Yes,Entertainment,7.0,Low,3.0,0.0
166,459481,male,Yes,49,Yes,Lawyer,0.0,Low,2.0,0.0
167,459482,male,Yes,72,No,Marketing,1.0,Low,4.0,0.0
168,459485,female,Yes,79,Yes,Lawyer,6.0,High,2.0,2.0
169,459496,female,No,35,Yes,Artist,8.0,Low,3.0,0.0
170,459497,female,Yes,77,Yes,Lawyer,0.0,Low,1.0,0.0
171,459499,female,Yes,79,Yes,Lawyer,5.0,High,2.0,2.0
172,459503,male,Yes,42,Yes,Healthcare,6.0,High,4.0,2.0
173,459505,female,No,42,Yes,Engineer,3.0,Low,1.0,0.0
174,459507,male,Yes,67,Yes,Lawyer,5.0,High,2.0,2.0
175,459509,male,No,26,Yes,Healthcare,1.0,Low,1.0,0.0
176,459512,male,Yes,67,Yes,Lawyer,1.0,High,2.0,2.0
177,459515,male,Yes,55,Yes,Engineer,1.0,Low,1.0,0.0
178,459516,female,Yes,56,Yes,Artist,1.0,Average,2.0,1.0
179,459518,male,Yes,63,Yes,Artist,4.0,Average,4.0,1.0
180,459535,male,Yes,46,Yes,Artist,8.0,Average,2.0,1.0
181,459536,male,Yes,32,Yes,Healthcare,7.0,Low,2.0,0.0
182,459538,female,No,49,Yes,Homemaker,13.0,Low,1.0,0.0
183,459541,male,Yes,59,Yes,Artist,1.0,High,2.0,2.0
184,459549,male,No,22,No,Healthcare,8.0,Low,5.0,0.0
185,459555,female,No,28,Yes,Artist,8.0,Low,1.0,0.0
186,459558,male,No,28,Yes,Entertainment,1.0,Low,3.0,0.0
187,459564,male,Yes,75,Yes,Lawyer,2.0,Low,1.0,0.0
188,459566,female,Yes,37,Yes,Artist,13.0,Low,2.0,0.0
189,459567,male,Yes,50,Yes,Doctor,0.0,Average,2.0,1.0
190,459571,female,Yes,50,Yes,Executive,1.0,High,4.0,2.0
191,459576,female,Yes,88,Yes,Lawyer,6.0,Low,0.0,0.0
192,459579,female,Yes,35,Yes,Artist,3.0,Average,5.0,1.0
193,459581,female,No,35,No,Homemaker,3.0,Low,0.0,0.0
194,459582,male,Yes,31,No,Entertainment,1.0,Average,3.0,1.0
195,459583,male,Yes,46,Yes,Artist,0.0,Low,1.0,0.0
196,459585,female,Yes,50,Yes,Artist,1.0,Average,4.0,1.0
197,459587,female,No,33,Yes,Artist,7.0,Low,3.0,0.0
198,459588,male,Yes,49,Yes,Artist,0.0,Low,1.0,0.0
199,459591,male,Yes,52,Yes,Artist,1.0,Average,3.0,1.0
200,459592,male,No,25,No,Healthcare,0.0,Low,3.0,0.0
201,459594,female,Yes,41,Yes,Artist,6.0,Low,1.0,0.0
202,459597,female,Yes,68,Yes,Artist,0.0,High,2.0,2.0
203,459603,female,Yes,79,Yes,Lawyer,2.0,High,2.0,2.0
204,459607,male,Yes,40,Yes,Entertainment,5.0,Average,5.0,1.0
205,459608,female,No,62,Yes,Doctor,4.0,Low,1.0,0.0
206,459612,male,No,21,No,Healthcare,2.0,Low,2.0,0.0
207,459616,female,No,20,No,Healthcare,4.0,Low,4.0,0.0
208,459617,male,No,28,Yes,Entertainment,1.0,Low,5.0,0.0
209,459618,male,Yes,57,Yes,Doctor,0.0,Average,2.0,1.0
210,459621,female,No,25,No,Healthcare,8.0,Low,2.0,0.0
211,459625,female,Yes,63,No,Engineer,8.0,Low,1.0,0.0
212,459626,female,Yes,26,No,Entertainment,1.0,Low,3.0,0.0
213,459632,female,Yes,50,No,Marketing,0.0,High,3.0,2.0
214,459644,female,No,30,No,Marketing,9.0,Low,4.0,0.0
215,459652,female,No,26,No,Engineer,1.0,Low,4.0,0.0
216,459658,male,Yes,61,Yes,Artist,1.0,Average,3.0,1.0
217,459664,male,No,42,Yes,Artist,3.0,Low,1.0,0.0
218,459665,male,Yes,88,Yes,Artist,4.0,Low,2.0,0.0
219,459672,male,Yes,45,No,Artist,3.0,Average,3.0,1.0
220,459673,female,Yes,86,Yes,Lawyer,1.0,Low,1.0,0.0
221,459678,male,No,18,No,Healthcare,1.0,Low,5.0,0.0
222,459680,male,No,37,Yes,Entertainment,2.0,Low,1.0,0.0
223,459686,male,Yes,46,Yes,Artist,1.0,Low,1.0,0.0
224,459691,male,Yes,58,No,Artist,6.0,Average,2.0,1.0
225,459692,female,Yes,72,Yes,Lawyer,8.0,High,2.0,2.0
226,459693,female,Yes,50,Yes,Artist,0.0,High,3.0,2.0
227,459699,female,Yes,56,Yes,Engineer,8.0,Average,3.0,1.0
228,459701,male,No,46,No,Artist,3.0,Low,3.0,0.0
229,459710,male,Yes,57,Yes,Artist,2.0,Low,1.0,0.0
230,459711,male,Yes,42,No,Executive,9.0,High,6.0,2.0
231,459712,male,No,20,No,Healthcare,0.0,Low,4.0,0.0
232,459713,male,No,19,No,Healthcare,0.0,Low,3.0,0.0
233,459715,male,No,19,No,Healthcare,4.0,Low,4.0,0.0
234,459718,male,Yes,68,Yes,Executive,1.0,Low,1.0,0.0
235,459725,female,Yes,40,Yes,Artist,0.0,Low,2.0,0.0
236,459727,male,Yes,82,Yes,Lawyer,3.0,High,2.0,2.0
237,459740,female,No,23,No,Healthcare,1.0,Low,3.0,0.0
238,459742,female,Yes,84,Yes,Lawyer,1.0,High,2.0,2.0
239,459745,male,Yes,51,No,Artist,0.0,Low,4.0,0.0
240,459746,male,Yes,59,Yes,Artist,1.0,Average,2.0,1.0
241,459747,female,Yes,41,Yes,Artist,1.0,Average,5.0,1.0
242,459748,male,Yes,51,No,Executive,1.0,High,2.0,2.0
243,459755,female,Yes,62,No,Artist,4.0,Average,3.0,1.0
244,459756,female,Yes,62,Yes,Lawyer,1.0,High,4.0,2.0
245,459760,female,Yes,38,Yes,Artist,8.0,Low,1.0,0.0
246,459763,male,No,18,No,Artist,2.0,Low,4.0,0.0
247,459767,male,No,22,No,Healthcare,3.0,Low,4.0,0.0
248,459771,female,No,30,Yes,Doctor,0.0,Low,3.0,0.0
249,459779,female,Yes,62,Yes,Entertainment,1.0,Low,1.0,0.0
250,459780,female,No,43,No,Entertainment,1.0,Low,3.0,0.0
251,459785,female,No,32,Yes,Engineer,5.0,Low,1.0,0.0
252,459793,male,Yes,37,Yes,Artist,1.0,High,2.0,2.0
253,459795,male,No,48,Yes,Artist,1.0,Low,1.0,0.0
254,459801,female,No,31,Yes,Engineer,4.0,Low,2.0,0.0
255,459804,male,Yes,46,No,Artist,4.0,High,4.0,2.0
256,459806,female,Yes,49,No,Engineer,1.0,Average,4.0,1.0
257,459808,male,Yes,43,Yes,Doctor,4.0,Average,4.0,1.0
258,459815,male,No,42,Yes,Artist,8.0,Low,1.0,0.0
259,459816,male,Yes,37,Yes,Doctor,2.0,Low,2.0,0.0
260,459819,male,Yes,72,Yes,Entertainment,4.0,High,2.0,2.0
261,459821,male,Yes,71,No,Executive,4.0,High,1.0,2.0
262,459822,female,No,39,Yes,Engineer,1.0,Low,1.0,0.0
263,459825,male,No,20,No,Healthcare,0.0,Low,5.0,0.0
264,459827,female,No,26,No,Homemaker,2.0,Low,1.0,0.0
265,459832,male,Yes,72,Yes,Executive,1.0,Low,1.0,0.0
266,459845,male,Yes,70,Yes,Healthcare,0.0,Low,1.0,0.0
267,459851,male,No,45,Yes,Artist,2.0,Low,1.0,0.0
268,459853,male,No,33,No,Executive,7.0,Low,5.0,0.0
269,459856,male,Yes,50,No,Entertainment,0.0,Average,3.0,1.0
270,459857,male,No,31,Yes,Entertainment,6.0,Low,1.0,0.0
271,459861,female,Yes,74,Yes,Lawyer,1.0,High,2.0,2.0
272,459864,female,Yes,68,No,Artist,0.0,High,2.0,2.0
273,459866,female,No,49,Yes,Artist,0.0,Low,1.0,0.0
274,459867,male,Yes,49,Yes,Marketing,0.0,High,2.0,2.0
275,459869,female,No,18,No,Healthcare,1.0,Low,3.0,0.0
276,459871,female,Yes,85,No,Entertainment,2.0,Average,2.0,1.0
277,459885,female,No,38,Yes,Entertainment,2.0,Low,4.0,0.0
278,459886,male,Yes,28,No,Artist,0.0,Low,4.0,0.0
279,459887,male,Yes,46,No,Artist,3.0,Average,2.0,1.0
280,459889,male,Yes,59,Yes,Homemaker,9.0,Average,3.0,1.0
281,459897,female,Yes,56,Yes,Artist,0.0,Low,2.0,0.0
282,459909,male,Yes,69,Yes,Artist,0.0,Low,1.0,0.0
283,459910,male,Yes,66,Yes,Artist,0.0,Low,2.0,0.0
284,459911,male,No,18,No,Healthcare,4.0,Low,6.0,0.0
285,459914,male,No,36,Yes,Artist,4.0,Low,1.0,0.0
286,459923,male,No,31,Yes,Marketing,1.0,Low,2.0,0.0
287,459925,male,Yes,67,No,Executive,1.0,High,2.0,2.0
288,459937,female,No,39,Yes,Artist,7.0,Low,1.0,0.0
289,459943,male,No,42,Yes,Entertainment,4.0,Low,3.0,0.0
290,459945,male,Yes,50,Yes,Artist,0.0,Low,2.0,0.0
291,459946,female,Yes,37,Yes,Artist,0.0,Average,2.0,1.0
292,459949,female,No,59,Yes,Artist,0.0,Low,1.0,0.0
293,459953,male,Yes,50,Yes,Artist,8.0,Low,2.0,0.0
294,459961,male,Yes,48,Yes,Artist,8.0,Low,3.0,0.0
295,459962,male,Yes,55,Yes,Artist,9.0,Low,1.0,0.0
296,459966,female,No,33,Yes,Doctor,1.0,Low,3.0,0.0
297,459968,male,No,38,Yes,Artist,13.0,Low,1.0,0.0
298,459970,male,No,43,Yes,Artist,0.0,Low,2.0,0.0
299,459973,female,No,53,Yes,Artist,0.0,Low,2.0,0.0
300,459974,male,No,37,Yes,Entertainment,0.0,Low,1.0,0.0
301,459975,female,No,36,Yes,Artist,5.0,Low,1.0,0.0
302,459981,male,No,36,Yes,Artist,5.0,Low,1.0,0.0
303,459986,male,Yes,62,Yes,Artist,1.0,Low,1.0,0.0
304,459995,female,No,38,No,Artist,2.0,Low,2.0,0.0
305,459996,male,No,55,Yes,Entertainment,1.0,Low,1.0,0.0
306,459998,male,Yes,60,No,Entertainment,1.0,Average,2.0,1.0
307,460004,female,Yes,36,Yes,Entertainment,7.0,Average,2.0,1.0
308,460006,male,No,30,No,Entertainment,5.0,Low,9.0,0.0
309,460014,female,No,66,No,Entertainment,4.0,Low,3.0,0.0
310,460023,male,Yes,45,Yes,Entertainment,1.0,Low,1.0,0.0
311,460027,female,No,40,Yes,Entertainment,6.0,Low,1.0,0.0
312,460033,female,No,45,Yes,Entertainment,5.0,Low,3.0,0.0
313,460036,male,Yes,41,Yes,Homemaker,2.0,Low,1.0,0.0
314,460040,female,Yes,62,Yes,Homemaker,4.0,Low,1.0,0.0
315,460045,male,Yes,61,Yes,Artist,1.0,Low,2.0,0.0
316,460046,female,Yes,50,Yes,Artist,4.0,Low,2.0,0.0
317,460050,male,Yes,53,Yes,Entertainment,3.0,Low,2.0,0.0
318,460051,male,No,39,Yes,Artist,7.0,Low,1.0,0.0
319,460052,female,No,86,Yes,Lawyer,0.0,Low,1.0,0.0
320,460058,male,Yes,50,Yes,Artist,1.0,Low,1.0,0.0
321,460059,female,No,46,No,Entertainment,4.0,Low,4.0,0.0
322,460061,male,No,52,Yes,Marketing,0.0,Low,1.0,0.0
323,460066,female,No,45,No,Marketing,0.0,Low,1.0,0.0
324,460068,female,No,37,Yes,Artist,9.0,Low,1.0,0.0
325,460073,female,Yes,36,Yes,Engineer,3.0,Low,1.0,0.0
326,460075,female,No,25,Yes,Artist,6.0,Low,1.0,0.0
327,460079,female,No,40,Yes,Doctor,1.0,Low,1.0,0.0
328,460081,male,Yes,41,Yes,Artist,11.0,High,2.0,2.0
329,460088,female,Yes,25,Yes,Homemaker,3.0,High,2.0,2.0
330,460090,male,Yes,80,Yes,Lawyer,4.0,Average,2.0,1.0
331,460093,female,No,46,Yes,Artist,3.0,Low,1.0,0.0
332,460095,female,Yes,81,Yes,Lawyer,1.0,Low,1.0,0.0
333,460097,male,Yes,40,Yes,Artist,0.0,Low,2.0,0.0
334,460099,male,No,49,Yes,Homemaker,1.0,Low,1.0,0.0
335,460101,female,No,26,Yes,Healthcare,8.0,Low,3.0,0.0
336,460103,male,No,26,Yes,Artist,1.0,Low,1.0,0.0
337,460105,female,No,47,Yes,Artist,0.0,Low,1.0,0.0
338,460106,female,Yes,71,Yes,Entertainment,0.0,Low,0.0,0.0
339,460107,male,Yes,48,Yes,Engineer,1.0,Average,5.0,1.0
340,460108,male,Yes,39,Yes,Artist,1.0,Average,3.0,1.0
341,460109,male,Yes,50,Yes,Artist,8.0,Average,2.0,1.0
342,460110,female,No,46,Yes,Artist,1.0,Low,2.0,0.0
343,460112,male,Yes,26,Yes,Engineer,8.0,Average,2.0,1.0
344,460116,female,Yes,42,Yes,Homemaker,1.0,Low,2.0,0.0
345,460118,female,Yes,36,Yes,Artist,4.0,Low,2.0,0.0
346,460119,male,No,29,Yes,Healthcare,1.0,Low,4.0,0.0
347,460122,female,No,39,No,Artist,1.0,Low,1.0,0.0
348,460124,female,No,41,Yes,Artist,0.0,Low,3.0,0.0
349,460126,female,Yes,48,Yes,Marketing,8.0,Low,0.0,0.0
350,460134,male,Yes,40,Yes,Entertainment,9.0,High,3.0,2.0
351,460135,female,No,25,Yes,Healthcare,4.0,Low,3.0,0.0
352,460140,female,Yes,41,Yes,Artist,7.0,Low,2.0,0.0
353,460141,male,No,37,Yes,Artist,11.0,Low,1.0,0.0
354,460144,female,No,53,Yes,Doctor,0.0,Low,0.0,0.0
355,460146,female,Yes,51,Yes,Engineer,0.0,Average,3.0,1.0
356,460147,male,Yes,73,Yes,Entertainment,1.0,Average,3.0,1.0
357,460157,male,Yes,61,No,Homemaker,1.0,Low,5.0,0.0
358,460160,male,No,39,Yes,Entertainment,5.0,Low,1.0,0.0
359,460162,female,No,19,No,Healthcare,0.0,Low,4.0,0.0
360,460166,female,No,19,No,Healthcare,0.0,Low,7.0,0.0
361,460167,female,No,23,No,Entertainment,1.0,Low,5.0,0.0
362,460168,male,Yes,83,Yes,Executive,0.0,High,2.0,2.0
363,460171,female,Yes,62,Yes,Artist,1.0,High,2.0,2.0
364,460174,female,No,43,Yes,Artist,9.0,Low,4.0,0.0
365,460175,female,No,27,No,Artist,0.0,Low,5.0,0.0
366,460177,male,No,50,Yes,Artist,0.0,Low,1.0,0.0
367,460179,female,No,23,No,Entertainment,0.0,Low,6.0,0.0
368,460183,male,No,35,No,Entertainment,9.0,Low,2.0,0.0
369,460185,male,No,32,No,Healthcare,9.0,Low,3.0,0.0
370,460187,female,No,42,Yes,Doctor,2.0,Low,3.0,0.0
371,460189,male,No,33,No,Entertainment,13.0,Low,1.0,0.0
372,460190,female,No,28,Yes,Entertainment,9.0,Low,3.0,0.0
373,460192,male,Yes,35,Yes,Homemaker,1.0,Low,2.0,0.0
374,460196,female,No,35,Yes,Healthcare,9.0,Low,2.0,0.0
375,460206,female,Yes,39,Yes,Entertainment,0.0,Low,2.0,0.0
376,460211,male,Yes,28,Yes,Artist,6.0,Low,1.0,0.0
377,460212,male,Yes,35,Yes,Entertainment,11.0,Low,6.0,0.0
378,460214,female,Yes,45,Yes,Engineer,0.0,Average,2.0,1.0
379,460222,female,Yes,73,Yes,Lawyer,4.0,High,0.0,2.0
380,460223,male,No,52,No,Entertainment,1.0,Low,1.0,0.0
381,460227,male,No,28,No,Healthcare,0.0,Low,3.0,0.0
382,460242,male,Yes,38,Yes,Healthcare,9.0,Low,3.0,0.0
383,460243,female,No,42,Yes,Entertainment,8.0,Low,1.0,0.0
384,460247,female,No,26,Yes,Doctor,9.0,Low,4.0,0.0
385,460248,female,No,27,Yes,Healthcare,7.0,Low,2.0,0.0
386,460252,male,Yes,41,Yes,Artist,0.0,Low,2.0,0.0
387,460263,male,Yes,41,Yes,Artist,1.0,Low,2.0,0.0
388,460265,male,Yes,47,Yes,Executive,0.0,High,4.0,2.0
389,460270,male,No,35,Yes,Doctor,8.0,Low,1.0,0.0
390,460272,female,No,88,Yes,Lawyer,0.0,Low,1.0,0.0
